U07804_s_at,J04093_s_at,L13943_at,L36151_at,L77561_at,X64624_s_at,S68134_s_at,U30245_at,U06233_at,X07767_at,L13740_at,K03430_at,L37347_at,X02910_at,L37882_at,L24564_at,U89336_cds6_at,X64177_f_at,U49436_at,U39573_at,X77166_at,D14822_at,D63882_s_at,HG1205-HT1205_at,X96719_at,D16181_at,HG3954-HT4224_s_at,U79260_at,Z70759_at,D88795_at,U61538_at,D86974_at,L40392_at,L24774_s_at,U03397_s_at,D25538_at,M61764_at,M38258_at,U35048_at,L22342_at,AFFX-HUMISGF3A/M97935_MB_at,X65784_s_at,M99063_at,HG2868-HT3012_s_at,X56807_at,M80359_at,S68271_s_at,D26561_cds1_at,X13916_at,L48546_at,U92971_at,U34038_at,D31784_at,U20499_at,U40705_at,Z19574_rna1_at,U18985_at,M93415_at,X69978_at,HG3995-HT4265_at,X04470_s_at,U73704_at,L37368_at,D31891_at,X73460_at,M21642_s_at,AFFX-HUMGAPDH/M33197_M_st,X52773_at,X94754_at,HG1078-HT1078_at,M62397_at,M25756_at,AFFX-HUMISGF3A/M97935_3_at,U79263_at,L08044_s_at,D11151_at,Z22548_at,U51587_at,HG3570-HT3773_at,M29960_at,X84003_at,X87237_at,Z24724_at,HG2709-HT2805_at,J04046_s_at,HG1428-HT1428_s_at,U30998_at,U29607_at,L10333_s_at,HG1116-HT1116_at,D87460_at,L19871_at,M62324_at,D84110_at,X78342_at,HG1327-HT1327_s_at,Y09321_at,M93221_at,U66033_at,AB000584_at,class
0.0282,-1.1717,-0.7457,-0.2402,-0.1138,-0.4184,0.1827,-1.237,-0.5709,-0.4524,-0.7123,0.287,-0.4356,-0.4941,-0.4041,-0.7905,0.8382,-0.1378,-0.5895,-1.0468,0.6033,1.0086,-0.4955,0.6874,-0.7654,-0.4401,-0.1316,-0.7282,1.5043,1.0741,0.3801,0.9817,-0.2477,0.0077,-0.5477,-0.524,-0.6476,-0.3011,-0.2676,-1.0556,-0.5419,0.0303,-0.2925,-0.0317,-1.2717,-0.2648,0.1049,1.2116,0.3491,0.061,0.3699,-0.0793,1.2934,-0.337,-0.4288,0.5387,1.5047,1.7957,0.3319,0.817,-0.3237,0.9971,0.3561,-0.7703,0.9391,1.4758,0.0121,0.8003,0.3409,-0.2573,1.3262,-1.5665,-0.0984,-0.0548,-0.0009,1.1553,0.1785,-0.7671,0.1421,-0.0731,-0.8226,-0.1737,-0.5607,-1.4196,-1.932,-0.6305,-0.0483,0.2349,-0.0199,-0.4926,-0.6139,-0.4897,-0.5932,-0.8555,-0.5939,-0.858,-0.4569,-0.0796,-1.2699,0.4648,ALL
0.7367,0.7599,0.5468,0.5091,-0.4706,-0.4934,0.3998,-0.1999,0.1689,-0.1483,-0.3324,0.8211,-1.4616,-0.4999,0.8088,-0.1588,0.9188,0.1586,-0.0831,-0.3972,-0.0066,-1.1831,-1.0113,-0.2788,-0.1748,0.8978,0.3369,0.8848,-0.2426,1.1829,-0.064,0.8263,0.5135,-1.4219,1.071,1.8402,0.4628,0.1225,-0.162,0.1902,-0.0756,0.4913,-0.1448,-0.6437,0.9105,0.7553,0.0745,-0.9578,0.0657,0.8211,-0.9307,0.5216,0.6733,1.2193,-0.8872,1.003,0.4735,-0.0999,0.6539,0.2054,-0.2332,-0.0479,-0.1799,1.5198,0.3698,-0.6781,-0.472,-0.2506,0.5252,-0.0772,-0.2574,0.5042,0.0109,1.0187,-0.813,1.0817,-0.4357,0.4651,0.3483,0.4715,-1.1526,0.7324,0.1686,-0.072,0.3441,-0.6696,-0.0006,-0.0298,-0.5572,0.7549,-0.5373,-0.4951,0.0782,1.2376,0.4712,-0.6578,0.6089,0.1412,0.8357,0.3754,ALL
-0.2294,0.4001,-0.0449,0.0842,-0.2961,-0.2972,0.1982,0.3061,0.6811,-0.4186,1.8598,0.3846,-0.3454,1.6953,-0.9481,-0.5087,-0.5639,0.4573,-0.2705,1.0329,0.7171,1.0086,-0.0011,0.5466,0.9584,-0.4974,0.996,-0.7464,-0.6551,-1.1699,-0.4981,-0.5382,-0.614,-0.8276,0.7357,-0.3637,-0.0497,0.6153,1.0226,-0.3765,0.0998,0.0333,0.4069,-0.7053,-0.7562,0.2552,-0.1153,0.0008,0.1202,-0.0286,-0.2221,0.7881,-0.0244,-0.5089,-0.7153,0.2077,0.8485,-0.2246,-0.2956,0.2191,-0.6556,0.2386,-1.3501,-0.3142,0.4112,-0.5845,1.0341,-0.3784,-0.3858,-0.6391,-1.1566,1.4946,0.1688,-0.1264,-0.7749,-1.3658,0.2226,-0.7072,0.313,-1.2329,-0.8826,-0.0142,-1.1889,0.1149,-1.8426,-0.0802,0.2376,-0.3588,0.8495,-0.4384,-0.5851,1.5612,-0.5049,-0.1074,0.0414,0.9264,0.9739,-0.1193,0.0117,0.6488,ALL
-0.6695,0.3433,-0.808,-0.6895,-0.3814,1.2916,0.1827,0.5337,-0.0777,0.9427,2.9894,-0.4679,-0.5834,0.4609,-0.7328,-0.0432,-0.8943,-0.227,-1.2578,-0.4548,-0.9576,-0.027,0.1063,-0.1956,-0.1915,0.1715,1.1762,0.1017,-0.8027,0.9381,0.1783,-0.6844,-0.7932,-0.3015,-0.698,-0.1553,-0.1548,0.8685,-0.6144,-0.5963,-0.522,0.0002,0.9192,-0.2345,-0.3438,0.2112,-0.2595,-0.0497,0.2074,0.5578,-0.8097,0.0252,0.3115,0.3321,-0.6007,0.3213,1.4422,0.0123,-0.0561,0.105,-0.5802,-0.0985,0.4607,-0.4182,0.201,-0.0413,-0.8583,-0.4344,-0.5949,0.8299,0.0945,-0.144,-0.2648,-0.4413,-0.1849,1.1921,-0.2658,0.3451,0.6076,-1.0816,-0.4025,0.1851,-0.5607,-0.0331,-0.7794,0.0933,0.8728,-0.105,-0.5865,-0.7392,0.7015,-0.3368,1.4775,0.3313,1.0038,-0.7488,0.1052,-0.3175,0.2681,-1.0077,ALL
0.0819,-0.8876,-0.6211,-0.6909,0.9373,0.0219,-0.4376,-0.3516,1.3451,-1.2442,0.8213,0.9443,1.8379,-0.5814,-0.3531,-1.4251,0.1533,-0.829,-0.949,-0.2086,1.0065,-0.0752,0.4502,0.521,-1.1837,2.1019,-1.0069,0.6298,0.2793,0.3533,-0.5183,0.5321,0.168,-0.2453,-0.6517,-0.8365,-1.3703,0.5416,-0.5845,0.8131,-0.9086,-0.4518,0.4069,0.7904,1.6665,-1.4769,-0.9504,0.3287,-1.3945,-0.3965,-0.2998,0.4118,1.0867,-0.0486,-1.4862,0.7511,0.5048,-0.499,0.8108,0.3583,0.7298,0.1543,0.0554,0.3239,-0.2966,-0.0788,-1.7728,-0.7021,0.1601,1.3776,0.9352,0.3422,-0.2513,-1.6866,1.0078,0.5112,-0.377,-0.7017,0.863,-0.7084,0.7376,-0.8187,-0.864,-0.5783,-0.1048,0.2023,0.5075,0.8367,-0.5963,1.2923,-0.1926,-0.3678,-1.3423,-0.4167,-1.4908,-0.858,0.295,-0.2608,-1.7643,-0.1295,ALL
-1.1311,0.9493,-0.9948,0.8864,0.8132,0.1858,0.1362,2.6586,1.7625,-0.0035,-0.3936,0.4719,0.0486,0.5074,0.8824,1.3654,-0.8459,-0.2895,-0.6806,-1.2092,0.1692,-0.2197,-1.0113,-1.1746,-0.452,-0.1916,1.0166,-0.1507,1.0285,1.8085,-0.9927,-0.3288,-0.6244,0.1081,0.2501,-1.3254,-0.5917,-0.0479,0.0549,-0.2983,-0.1234,-0.3312,1.525,1.5291,0.7215,-0.6688,-0.5784,-2.0173,0.5561,1.3141,2.8199,-0.2309,1.1125,-0.1669,-1.5487,-0.4542,0.3173,-2.2948,-0.6836,0.5021,0.7197,-0.7727,0.5304,0.2412,-0.3281,0.3895,0.325,0.8842,-0.0703,-0.4589,-0.101,0.0901,-0.6479,-1.0997,-0.1088,1.873,0.2226,0.7541,-0.3097,-0.063,-0.6725,-0.9347,-1.225,-0.3758,0.8869,-0.7504,0.5552,-0.9028,1.1328,-0.9216,0.4564,1.2501,-0.4307,2.295,-1.2479,-1.6228,-0.216,0.2205,-0.7573,-1.431,ALL
-0.6481,0.9303,0.5312,-0.3095,2.1048,-0.6027,-0.4066,-0.2505,0.1879,-0.0928,0.1072,-0.9404,0.9514,-0.7299,-0.0073,-0.4672,0.2903,-0.3346,-0.8882,1.321,0.0968,0.9363,-0.1731,1.0841,1.0338,1.5667,-0.075,0.0497,1.1327,-0.1363,-0.2457,0.0324,-0.5828,-0.165,0.4351,-0.3116,0.0554,-3.1332,-0.1977,0.1853,-0.2788,0.0213,-0.9427,-0.6365,-0.2407,0.0032,-0.0925,0.8332,-1.7541,-0.4302,0.2835,2.2146,0.725,0.8312,0.9099,0.4844,0.0361,0.7606,1.3723,0.1529,-0.7813,1.6207,-0.5133,0.3925,-2.0033,0.4831,0.2761,0.6605,0.1388,0.235,1.0525,0.9544,-0.4698,-0.9709,0.716,-0.3353,-0.5254,-0.8326,-0.408,-0.4966,-0.8226,2.2436,-0.3729,1.5249,-1.043,-0.2624,0.1423,0.3436,-0.2641,0.0202,2.2849,-0.4242,-0.3989,-1.4957,0.9571,1.1267,-0.6321,3.1764,-1.1417,-0.3135,ALL
0.9407,1.1576,0.9673,-0.2891,-0.0207,0.8274,0.1517,0.1543,-0.3243,-0.7035,0.6392,-0.6733,0.4508,3.2266,0.0153,-0.4969,-0.3141,-0.4805,1.3194,0.7867,-0.3373,0.4306,-0.5384,1.1033,0.2199,0.4964,1.3203,-0.2365,0.5947,-0.3811,0.3297,-0.8182,-0.4529,-0.3497,-1.0911,-0.1754,2.0627,-0.2781,-0.0478,-0.6769,0.1118,-0.7922,0.2049,0.631,0.3778,0.9233,0.0062,0.253,-0.5064,0.7352,0.5082,0.8717,-0.7995,-0.8822,0.0087,-1.6842,-0.6201,-0.5613,-0.246,-1.2276,0.2496,-1.0593,0.2537,-1.1319,-1.4502,0.2958,-0.9415,-0.81,-0.1625,0.8005,-0.3942,0.5943,-0.2026,0.7181,-1.5299,0.3456,4.1262,-0.7726,-0.1742,-1.2732,0.7976,-0.5542,-0.6473,0.5434,1.461,-0.1185,-1.6838,0.8961,-0.2837,-1.247,-0.2156,-0.133,0.2337,-0.6037,-0.5098,1.1996,-0.0554,0.0563,-0.5192,-0.4582,ALL
-0.1435,0.6652,-0.7613,0.1371,-0.6878,0.795,-0.9494,0.4831,-0.7227,0.1776,-0.8275,1.3962,-0.4274,-0.3805,-0.183,1.4248,-0.5881,0.1516,-0.0882,0.2524,0.0658,0.5751,0.923,0.1819,-0.4079,-1.3766,-0.2243,-0.8973,0.4349,-0.9387,0.6628,0.2593,0.0225,0.0478,-0.2702,-0.1513,0.5417,0.4633,-0.2291,0.2366,0.1476,-0.1234,-1.3811,-0.249,-0.2923,0.5393,-0.214,1.1107,-0.6644,-0.1426,-0.2091,-0.2988,0.5441,0.3063,0.0764,0.0398,1.4734,-0.686,-1.0387,0.2396,0.8455,1.2162,-0.7334,-0.0424,-0.7814,-0.2473,0.3299,-0.5982,-1.0274,-0.3893,0.1923,0.5943,1.3671,-1.6007,-1.5235,-2.2676,-0.1182,0.0943,0.5605,-0.305,-0.0725,0.0655,0.8402,-1.2561,-0.4444,1.7945,-0.0006,-0.8188,-1.7978,-0.2905,-0.0739,-0.113,-0.83,-1.4165,-0.379,1.2542,0.5432,0.0053,1.6962,-0.3582,ALL
-0.3045,0.5895,0.2977,0.0828,-0.0362,2.051,0.2137,-0.1493,0.3017,1.8455,-0.6027,-0.9814,-0.1894,0.0824,1.0581,-0.1558,0.1452,-0.2154,1.6485,-0.5072,0.3553,-0.5328,0.2353,-0.4452,0.0191,0.7831,0.548,0.3489,-0.7949,-0.3539,-0.8413,-0.4803,1.8437,0.5779,0.7357,0.6781,1.1396,-0.1998,-0.3361,1.2357,-0.4463,1.2535,-0.1201,0.45,0.1373,0.9953,-0.1533,0.4296,-0.3865,-0.7962,-0.6239,-0.3145,0.725,1.1195,-0.5226,0.4399,0.4423,-0.262,0.4227,-0.1369,0.496,-0.3345,0.5697,0.747,-0.0719,0.4269,-0.516,-1.4013,0.0431,0.557,0.3878,-0.234,-0.0043,0.4032,-0.0326,-0.1329,0.0905,0.0453,0.6862,0.9455,-1.2426,0.37,1.2735,0.8861,0.5273,-0.3999,-0.1435,0.2648,-0.2739,-1.1928,-0.028,-0.466,-0.1409,0.2882,1.2747,0.5076,-0.2817,1.2851,0.2681,-0.7342,ALL
-1.013,-0.9255,-1.0104,-0.1778,1.6278,-0.1368,-0.3756,1.4697,0.776,-1.1669,-0.2926,0.4667,-0.5505,0.5365,-2.0363,-1.9885,-0.854,-0.9077,-0.9186,-0.811,-0.4614,1.3217,-1.0113,1.5,-0.5206,-0.8797,-0.0801,1.184,0.0313,0.0541,0.1883,0.909,0.0485,0.1683,0.8166,-0.4038,-1.2718,0.7442,-0.8556,-0.0516,-0.3227,-0.3282,0.6039,0.526,0.6012,-1.1969,-1.3376,-1.1344,-0.2666,-0.1668,-0.2955,-0.8318,0.88,-0.2279,-1.0904,-1.5755,-0.2764,1.2345,-0.7249,-1.7981,-1.1761,0.542,0.6895,0.4752,-1.522,-0.2848,-0.9806,-0.3625,0.3196,3.3799,0.3878,-0.6302,-0.0009,-0.5558,-1.3142,1.2289,-0.3569,0.3888,2.0652,-0.8093,0.4376,-0.8803,-1.1889,0.1072,-0.6029,-0.4332,1.111,1.6139,1.6213,2.3475,2.373,-0.0402,0.1559,0.1875,-0.0426,-0.3664,-0.3912,-0.6742,-1.1234,-0.5002,ALL
0.5113,0.3054,-0.6678,-0.0108,-0.8585,-0.4661,0.9426,-1.1358,-1.3108,-0.4259,-0.5856,-0.5501,1.5588,-0.4504,1.0241,0.1615,0.0807,-0.132,-1.0148,-0.6329,-0.4097,0.551,-1.2477,-0.2404,-0.4324,-0.421,-0.2037,-0.2573,0.3446,0.2853,0.2489,0.9281,0.3914,1.1481,-0.7096,0.7943,1.4089,-0.011,-0.359,-1.0653,-0.6057,-0.1053,-0.3172,-1.3318,0.8418,-0.5368,-0.1609,-0.8317,-0.2612,0.2011,-0.7967,0.1924,-1.7813,-0.5514,-0.7361,0.8203,1.0672,-0.5114,-0.4029,-0.6412,-0.5223,0.0195,0.245,0.064,-0.2445,-0.4534,0.0952,-0.1627,-0.3574,-0.4036,-0.101,0.1621,-0.8194,-0.0119,-1.1048,-0.9058,-0.2086,0.4433,1.2873,0.5926,-0.5225,-0.4201,0.3131,-0.2668,-0.1584,-0.8774,-0.3341,-0.9505,-0.4204,0.8091,-0.2788,-0.6134,-0.6497,-0.762,0.0508,-0.6578,-0.3474,-0.2948,1.2019,0.5331,ALL
1.5204,-0.0165,0.1575,-0.6678,-0.0091,-0.3996,-0.7323,0.5843,1.0985,-0.718,-0.4448,0.4102,-1.3056,-0.4941,-1.2032,0.2119,-0.7573,-0.2339,0.2915,0.6505,-0.7198,-0.5087,0.9015,0.6554,-0.2336,0.7067,0.6664,-0.6216,2.0633,1.2781,0.7738,0.2206,-0.1827,0.2446,0.0766,-0.0391,0.9852,0.5232,-0.279,-0.7063,-0.785,-0.6144,-0.0857,-0.2381,0.2919,2.0394,-0.047,-0.6047,-0.065,-0.1201,-0.6153,-1.4484,-1.6263,-0.2409,0.3942,0.3263,1.286,-1.1849,0.2659,-1.417,1.6853,-1.0424,-0.9884,-1.1532,-0.9381,-0.0975,-0.3742,-2.0167,-0.3043,-0.4598,0.9352,0.3422,-0.5404,-0.2266,-0.0009,-1.5683,2.4734,0.6178,1.2775,-0.3555,0.2576,-0.4382,-0.0985,-0.1733,-0.1629,1.6343,0.5869,-0.0533,0.3709,1.3614,-0.4741,-0.4678,-0.8441,-0.0067,0.3311,1.5455,-0.143,0.5716,1.6596,0.6462,ALL
-2.2153,-0.6604,0.7025,-0.4425,-0.4318,0.2813,-0.1895,-0.0481,-0.0777,-0.228,-0.2599,-0.7247,0.303,0.225,0.0323,-0.0906,-0.9346,0.0868,0.008,-0.6644,-0.2443,-1.8816,0.2568,-0.8739,-0.595,-0.421,-1.3364,-0.736,0.6256,0.5165,-1.023,-1.2184,-0.3334,1.3047,-0.3049,-1.1451,0.3971,0.1456,-0.7158,-0.7136,-0.1593,-0.756,-0.5339,-0.8067,-1.3233,-0.3208,-0.3051,0.7071,-0.1849,-0.094,0.9878,0.9971,-0.6186,-1.4275,0.29,0.2769,-1.3076,0.0373,-1.1543,0.3127,-0.2684,-0.9918,0.0685,-0.17,-1.125,-2.0267,0.5255,-0.0188,-0.836,-0.4946,-0.7265,-1.0623,-0.5572,-0.4699,-0.7368,0.9529,0.4583,-1.4378,-0.1605,-0.7286,-0.1625,-0.6556,-0.7412,-0.0642,-0.8553,-0.2886,-1.525,-0.7751,0.2048,-0.3102,-0.3879,-0.8336,-0.466,-0.3664,-0.407,-0.0386,0.2585,-0.7931,-1.4164,0.6383,ALL
-0.9057,-0.0923,0.8738,-0.3543,-0.5482,-0.473,-0.3446,-0.5034,-0.8744,-0.9835,1.5938,-0.3344,0.6806,0.4492,0.7748,-0.0669,0.8704,0.0799,-0.3616,-1.2825,-1.8363,-1.1109,-0.431,-0.7651,0.8644,1.4903,0.3987,-0.3744,-0.4915,1.5229,-0.9927,-1.084,-0.9231,0.1241,-2.282,-0.3797,0.0292,-0.7294,-0.329,-0.5744,-0.3546,-0.6657,-0.2728,-1.0203,-0.55,0.6073,-0.4797,0.9341,-0.7625,-0.7103,0.3742,0.2551,-0.7995,-1.3,0.6182,-0.3011,-0.5889,-0.4117,-0.6176,-0.0502,0.5613,-0.4862,-1.3065,-0.4914,0.8514,-0.2286,-0.34,0.8083,-0.8005,-1.036,-0.4137,-0.3241,-0.5236,-0.7848,-0.3054,-1.053,-0.0757,-0.8217,0.2442,-0.5572,2.3278,-0.9601,-0.5246,-1.2794,0.0672,0.2586,-1.3186,-1.0778,0.4392,0.1385,0.3454,0.9898,-0.7628,-0.2585,0.4993,-1.113,0.7476,-0.8101,1.5497,-0.4108,ALL
0.3288,0.0024,-1.8046,-0.1262,-0.1293,1.4298,0.2758,0.9891,-0.6468,-0.3631,0.497,-0.5039,0.894,1.0606,0.2647,1.0541,-0.2255,-0.2015,1.1877,0.1686,-0.9059,0.4306,-0.0226,-0.1573,-0.1288,0.0377,1.4284,-1.017,0.5041,-1.1699,0.8344,-0.541,-0.0684,0.4173,-1.1605,0.2574,0.5055,-0.909,-0.5488,-1.1924,0.0281,-0.4728,-0.199,-0.1077,-0.0517,-0.1768,-0.0622,-0.6803,-0.065,0.2534,-0.3862,-0.0271,-0.6961,0.3469,-0.5851,0.6375,-0.3701,0.374,-1.0222,-0.1574,0.2797,1.3342,-0.4305,-0.4395,-0.3047,0.0898,-0.6579,-0.0947,-0.8892,-0.384,-0.4137,-1.6385,-0.5656,0.4891,-0.1341,-0.777,-0.2379,-0.4836,0.1322,-0.4966,0.2876,-0.2498,-0.4524,-0.0564,-0.3126,0.7449,0.0788,-0.1681,-1.4559,-0.3743,-0.7632,-0.4169,-0.4978,-0.2801,-0.5472,-0.0204,-0.2379,-0.2722,-0.1713,0.4095,ALL
0.2644,0.3244,-0.9326,-0.7547,0.022,-0.5037,1.4854,1.2926,-1.1021,-0.6383,0.1143,-0.8839,-0.2469,1.5264,0.1287,0.2564,-0.1368,-0.0128,0.008,0.0743,0.4173,-1.2072,-0.0656,0.0027,0.7831,-1.7015,0.3575,-0.9624,0.3269,-0.2451,0.2186,0.2066,-0.7595,-0.1449,-0.6286,-0.4639,-0.0628,-0.4991,-0.4432,-0.6818,-0.0796,-0.8615,-0.79,-1.6324,0.1201,-0.7888,-0.2368,-0.2515,0.5452,-0.5441,-0.356,-0.1734,-1.2129,-0.4885,0.2327,0.2225,0.3173,-0.0001,0.3402,-0.3856,0.5538,-0.4188,-0.8162,-0.638,0.2753,0.7266,0.6576,0.0211,-0.8714,-0.4089,-0.1401,-0.6662,-0.616,-0.5987,-1.0858,0.7321,-0.0347,-0.9144,0.0242,-0.6378,-0.6725,-1.0398,-0.8567,-1.1314,0.7328,0.7977,-0.207,-0.5916,-1.1433,2.1306,-0.8072,-0.1912,-0.4024,-0.8915,-0.108,0.2527,0.1271,-0.8271,-0.0066,0.5805,ALL
0.2537,0.5327,0.4378,0.2389,-0.4784,-0.0105,0.5394,-0.807,-0.5899,0.0738,-0.1361,-0.1649,-0.4685,0.0096,-0.7498,0.3779,-0.2738,-0.2941,0.7725,-0.0148,-0.172,0.1175,-0.0656,-1.4882,1.5167,0.3627,0.5429,-0.5513,-0.2279,-0.0955,0.3095,-0.562,-0.0684,0.0157,-0.8483,-0.4398,-0.3059,-0.338,0.6287,-0.2055,-0.1194,-0.3192,0.3626,-0.4952,-0.1205,-0.8048,-0.1609,0.8584,-0.0923,0.1189,-0.0622,-0.8423,-0.1794,-0.7824,-0.7987,-0.064,0.0673,-0.1124,-0.7084,0.0115,0.4029,-0.7053,-0.7051,-0.7798,1.0814,0.6517,-0.3351,0.185,0.3019,-0.2975,-0.0423,-0.27,-0.1622,0.0454,-0.1024,0.8057,-0.1444,0.0671,-0.0151,-0.6278,-0.6425,-0.6919,-0.1707,-0.259,-0.1383,-0.6844,0.1105,0.0239,-0.8991,-0.0488,-0.9738,0.5021,0.7001,0.3457,-0.1921,-0.0751,0.2293,-0.3401,0.561,0.0204,ALL
-0.7017,0.8167,0.4534,0.5457,-0.2806,1.3018,0.0897,-0.4022,0.0931,1.6138,-0.2186,0.3589,-0.3289,-0.1534,-1.2202,0.1822,0.4595,0.4133,-0.2452,-0.1667,0.3759,-0.2679,0.7726,-0.6691,-0.0269,-0.4018,0.9342,-0.2625,-0.1196,-0.4491,0.4609,-0.2156,-0.0762,-0.4541,0.3541,-0.6041,-0.549,0.1548,0.8984,-0.7234,-0.5778,0.1689,0.0227,0.3123,0.395,-0.3968,0.9475,1.6404,0.2564,0.2814,-0.6671,-0.9833,-0.4894,0.1528,-0.2153,0.1287,0.0986,-0.4616,-0.4112,-1.3736,0.2898,-0.1322,0.3757,-1.0185,-0.2389,-0.9216,-0.208,-0.9418,-0.7545,0.1958,0.4073,1.1164,-0.5622,1.4624,-0.3435,0.5112,-0.1854,0.3942,-0.3549,-0.4966,-0.2225,-0.8586,-0.1058,-0.5783,0.6055,0.4245,1.238,0.4535,-1.3094,-0.9611,-0.3401,-0.5024,2.1136,0.5687,-0.5472,-0.5303,1.2003,-0.1872,0.1216,0.5831,ALL
1.6814,-0.3574,0.3132,0.6435,-0.2767,-0.3842,0.4153,-0.0228,0.3207,0.6434,-0.57,-0.0263,-0.5095,-0.2612,0.8598,-0.23,0.9188,-0.5129,0.7675,0.3571,0.3759,0.3824,0.2783,-0.3108,0.836,-0.1534,-1.2334,-0.1975,-0.6324,0.0133,-0.2054,-0.5181,0.5499,1.2003,0.1229,2.834,0.6172,-1.7701,-0.0907,0.7154,0.0759,0.2894,0.5694,0.2435,0.4294,0.8553,0.1049,-0.0245,-0.5827,1.0284,-0.4165,-0.3093,-0.722,-0.5699,-0.1007,-0.1726,-0.3389,0.586,0.7117,-0.4038,0.2546,0.3397,-0.0906,0.1467,-0.1862,0.1273,-0.7605,0.4846,0.2806,-0.4687,0.3291,-0.3421,0.0697,-0.6989,0.7033,0.5296,0.432,-0.9743,0.3896,-0.0226,0.0776,-0.2425,0.0675,-0.1577,1.1281,0.0656,-0.7946,-0.5949,-1.1726,0.1533,-0.7287,-0.0766,-0.6003,-0.798,0.2377,-1.1312,0.1709,-0.7931,0.6892,-0.0348,ALL
0.1785,0.3812,-0.2785,0.3082,-0.3038,-0.1794,0.3688,0.2808,-0.2294,0.9838,1.8242,0.6002,0.0158,1.6254,-0.251,0.3779,0.4595,0.1157,2.2054,0.3414,0.0245,0.0452,0.7511,-0.6244,1.1876,-0.937,-2.119,-0.0544,-0.9353,-0.1635,-0.1549,-1.124,0.3655,0.7185,0.1576,0.9867,0.2591,0.1548,-0.289,1.3334,1.6583,0.5485,0.5842,1.0439,0.0342,-0.3328,0.2643,0.5809,1.0029,0.6642,-0.5116,-0.2361,0.0532,-0.3702,-0.0277,0.0348,-0.7451,-1.2971,-0.4442,-0.1871,0.33,0.0869,-0.5199,-0.4371,0.2852,-0.0413,0.2615,-0.9898,0.6209,0.243,-0.6288,0.5402,1.4444,0.4032,-0.1468,-0.7585,0.0982,-0.2328,0.2697,1.349,-0.6125,-0.4708,0.3564,0.0215,-0.527,-0.4192,-0.1594,0.1439,-0.4497,-0.0193,0.265,0.4876,0.8733,0.1731,0.3778,0.016,1.3901,0.481,0.6343,-0.5896,ALL
-0.2938,0.4569,-0.0605,0.1874,-0.5676,-0.4184,0.8806,0.1543,0.2069,0.641,-0.1247,-0.1598,0.065,0.1493,-0.3757,0.6181,-0.7654,0.0474,-0.4224,-0.6696,-1.1643,-0.0993,0.4502,-1.0659,0.2483,0.5538,-0.1676,-0.5825,-0.1156,-0.3539,0.7234,-0.3739,0.1836,-1.0243,-0.3165,0.1212,-0.6115,-0.4116,-0.486,-0.7038,0.2592,-0.051,-0.928,0.2472,-0.1033,0.4752,1.5473,0.1521,0.4145,-0.333,-0.7535,-0.6489,0.1048,-0.3776,2.4465,0.84,0.1611,-0.6985,-0.3534,-0.4381,0.237,-0.6379,-0.5983,-0.8507,0.4901,-0.6407,0.0708,-0.1427,-0.9317,-0.6382,-1.3326,-0.144,0.5184,0.7754,-0.3308,-0.1513,-0.428,0.1925,0.2363,0.6127,0.1076,-0.4926,-0.1924,-0.4148,-0.0088,0.5796,0.5075,-0.7351,-0.2446,-0.1425,-0.8723,0.0854,0.1736,0.5831,0.1162,0.2527,0.1344,-0.493,0.3962,0.5726,ALL
-0.0469,-0.2059,0.4845,-1.318,-0.9516,-0.304,0.3533,1.0144,-0.514,-0.8507,-0.6753,-0.1444,1.0335,-0.6629,0.8144,0.1318,-0.4833,1.4507,-0.6148,-0.4024,0.4276,0.7918,1.5463,-0.2404,-0.6969,0.4009,-0.0492,-0.7308,0.4898,-0.6531,-0.0337,-0.4154,-0.4997,0.5297,0.3773,-0.4118,0.3741,0.339,-0.4846,-0.6012,-0.8967,0.1779,-1.0757,-0.0751,-0.2751,-0.0648,-0.6999,-1.1848,0.5071,-0.6617,0.1366,-0.9572,-0.2052,-1.104,0.5817,-0.2665,-0.1202,0.1869,-1.4185,-0.3559,-0.0195,0.2049,-0.4588,-0.3213,0.776,-1.5022,-0.3987,1.064,-0.0313,-0.9548,-0.6288,-0.144,-0.8664,-0.5844,-0.0453,-1.3474,-0.5547,0.3451,-0.2646,-0.5572,-0.2525,0.283,-0.7629,-0.6173,-0.9737,0.7752,-0.1912,-1.1926,-0.0199,-0.5715,0.1788,-0.6134,-0.7204,-0.8843,1.6204,0.2527,0.4702,-0.1646,0.0667,-0.9551,ALL
