35590_s_at,725_i_at,41117_s_at,37905_r_at,37226_at,34457_at,33069_f_at,39332_at,33021_at,33870_at,38447_at,39586_at,36223_at,36783_f_at,36338_at,32545_r_at,37231_at,38414_at,33322_i_at,32815_at,32407_f_at,38687_at,37317_at,36611_at,36605_at,class
0.87589,0.08858,0.04567,0.57117,0.91074,0.18014,-0.09667,-0.59558,0.02454,0.1204,0.10128,-0.35668,1.10726,-0.05117,0.38561,-0.37602,0.74312,0.46232,1.07167,-0.2044,0.12374,1.35751,0.39046,1.55288,-0.31754,before Th
0.18952,1.8836,1.67346,0.73158,1.02095,0.50265,0.96851,0.7136,1.04911,1.38245,0.7201,-0.32514,0.8284,1.02094,0.97424,0.7255,1.90891,0.43936,0.0753,0.86225,0.7216,0.84754,0.68888,1.17512,0.99101,before Th
0.96116,2.66743,3.04885,2.29748,0.37854,2.2382,1.6317,2.29917,3.16449,1.90809,1.96404,0.93544,3.16416,0.79526,2.87328,2.30135,-0.24076,-0.08282,1.42484,3.31592,2.47256,2.05145,3.17842,1.40429,1.47552,before Th
1.70555,0.89731,1.38116,1.47376,2.10255,2.24077,1.40791,2.48288,1.86292,3.85962,1.87522,0.17721,1.1342,0.84487,1.0273,1.46388,1.39001,0.98839,0.97062,1.24483,0.72228,0.9551,0.55891,1.62299,0.05247,before Th
1.32536,0.22893,2.17933,1.81064,0.35286,0.79307,1.13932,1.06793,-0.08419,1.31458,0.89623,0.89021,0.94574,1.51065,0.06126,-0.05324,1.41238,0.50619,0.9305,1.23665,1.35716,1.65334,0.47014,1.22016,2.92962,before Th
1.13471,2.22723,2.02716,2.10155,1.66806,0.90831,-0.03533,0.88324,1.76296,0.81507,1.92057,1.07978,0.62464,1.2384,1.05469,0.92667,0.58831,0.92988,0.80563,3.67572,3.49302,0.7403,1.60242,0.8321,0.0934,before Th
1.29829,1.00552,0.41458,0.86972,0.87212,0.51499,1.13798,0.16391,0.30473,0.54424,0.64859,0.37019,0.85313,1.68906,1.74827,1.88698,0.01873,-0.29983,1.25467,0.13955,-0.47746,1.00689,0.7469,1.37556,1.79265,before Th
1.42108,3.3411,1.82413,1.45267,0.79831,1.75158,1.34255,2.30487,1.66893,0.77784,2.43954,2.75912,0.38333,1.45436,0.87263,2.94212,0.65059,1.79817,1.0839,2.00117,2.63419,1.33747,1.38178,0.78414,0.86707,before Th
2.40827,2.71045,0.81655,0.5986,1.41639,0.77806,-0.47351,1.8493,2.36961,2.27658,1.29761,5.02491,0.4683,1.57825,1.28697,0.26552,-0.68858,0.65399,1.05597,2.66283,1.61437,2.85644,3.6643,0.92208,0.46125,before Th
0.97618,2.95916,1.81665,0.99276,-0.01621,1.43388,1.08634,1.50913,0.20141,1.50299,1.11172,1.68717,3.42876,1.46242,0.83552,1.16966,-0.25589,0.79866,2.10084,0.95653,0.28032,0.86567,1.23658,1.42186,0.7296,before Th
1.04632,1.6626,0.27051,1.03631,-0.49566,0.70856,2.51107,0.57733,-0.57239,1.1632,0.5491,0.27771,0.55822,-0.46796,0.29413,0.84426,1.60013,-0.12228,0.48075,0.4925,0.57865,2.17252,1.54007,1.05783,0.20552,before Th
1.32664,0.4984,0.26581,0.12328,2.06427,0.4028,1.6114,0.08892,-0.32076,-0.83233,1.89519,0.62354,1.00169,0.41892,1.01438,2.27557,0.69903,-0.03166,-0.32106,-0.04726,1.23089,1.25888,-0.59049,1.02081,1.05492,before Th
0.97771,0.13882,2.15019,1.36417,0.35328,0.36772,2.55396,2.59023,-0.10862,1.66202,1.23416,2.00102,0.9454,1.59748,0.80745,2.00072,1.82696,-0.64419,0.96159,2.16161,1.12791,0.66389,2.39116,1.25081,1.31747,before Th
0.66658,0.81518,0.10973,0.73103,0.6631,0.15497,0.27724,0.47354,0.65503,0.34175,0.50447,0.16712,1.41127,0.75556,0.20143,2.15419,2.45826,1.63696,0.563,-0.16212,0.77268,0.97334,0.3632,1.80534,-0.52778,before Th
1.28378,0.56607,1.32981,1.93772,3.23485,2.95342,4.15786,4.51087,2.62175,1.37051,1.66824,1.95106,2.16399,2.01359,2.03823,-0.84209,1.62705,0.32214,1.95234,2.9965,3.50452,2.3597,1.88605,1.05831,0.04667,before Th
-0.83339,-0.28747,-0.42857,-0.59368,-0.48299,-0.75835,-0.44785,-0.53354,-0.01279,-0.556,-0.86841,-0.12207,-0.55785,-1.01657,-0.86767,-0.64787,-0.5889,-0.46653,-0.78591,-0.54536,-0.6119,-0.43524,-0.58584,-0.89158,-0.55871,before Th
